ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
284	"AT4G26370"	"AT4G26370"	chr4	-	13334886	13335213	13334886	13334941	13335078	13335213
285	"AT2G31141"	"AT2G31141"	chr2	-	13271725	13272145	13271725	13271958	13272103	13272145
286	"AT5G17760"	"AT5G17760"	chr5	-	5860420	5862422	5860420	5861100	5861293	5862422
287	"AT4G00180"	"YAB3"	chr4	-	74696	75384	74696	74867	74975	75384
288	"AT2G29910"	"AT2G29910"	chr2	-	12751668	12752839	12751668	12751808	12751894	12752839
289	"AT2G44980"	"AT2G44980"	chr2	-	18554095	18554296	18554095	18554175	18554205	18554296
290	"AT2G21520"	"SFH8"	chr2	+	9215518	9215989	9215518	9215554	9215835	9215989
291	"AT4G38600"	"UPL3"	chr4	-	18041030	18041568	18041030	18041298	18041380	18041568
292	"AT5G55730"	"FLA1"	chr5	-	22558147	22559007	22558147	22558266	22558316	22559007
293	"AT3G57810"	"AT3G57810"	chr3	+	21416300	21416849	21416300	21416550	21416679	21416849
294	"AT4G17190"	"FPS2"	chr4	-	9650449	9650669	9650449	9650565	9650644	9650669
295	"AT1G13450"	"GT-1"	chr1	-	4613285	4613889	4613285	4613516	4613754	4613889
296	"AT3G20270"	"AT3G20270"	chr3	+	7068574	7069394	7068574	7068724	7068956	7069394
297	"AT1G08680"	"AGD14"	chr1	+	2765055	2765451	2765055	2765200	2765326	2765451
298	"AT2G21195"	"AT2G21195"	chr2	+	9083164	9083392	9083164	9083261	9083338	9083392
299	"AT5G40810"	"CYC12"	chr5	+	16340170	16340800	16340170	16340259	16340588	16340800
300	"AT3G29375"	"AT3G29375"	chr3	+	11281297	11281894	11281297	11281495	11281583	11281894
301	"AT2G42590"	"GRF9"	chr2	-	17731854	17732267	17731854	17732120	17732205	17732267
302	"AT1G29830"	"AT1G29830"	chr1	+	10444760	10445657	10444760	10444882	10444959	10445657
303	"AT3G58110"	"AT3G58110"	chr3	+	21516744	21519141	21516744	21517752	21517842	21519141
304	"AT2G46280"	"TIF3I1"	chr2	-	19004019	19004289	19004019	19004106	19004199	19004289
305	"AT1G67950"	"AT1G67950"	chr1	-	25479770	25480176	25479770	25479874	25479988	25480176
306	"AT1G23590"	"AT1G23590"	chr1	-	8360220	8360645	8360220	8360370	8360503	8360645
307	"AT1G01100"	"RPP1A"	chr1	-	50418	50631	50418	50447	50495	50631
308	"AT3G01980"	"AT3G01980"	chr3	-	328098	328618	328098	328328	328418	328618
309	"AT3G01980"	"AT3G01980"	chr3	-	328741	329031	328741	328848	328958	329031
310	"AT2G33340"	"PRP19B"	chr2	-	14126216	14126720	14126216	14126492	14126576	14126720
311	"AT3G53990"	"AT3G53990"	chr3	-	19990448	19990763	19990448	19990567	19990653	19990763
312	"AT1G48450"	"AT1G48450"	chr1	-	17908502	17909589	17908502	17908933	17909040	17909589
313	"AT1G48450"	"AT1G48450"	chr1	-	17908502	17909589	17908502	17908701	17909059	17909589
314	"AT3G23370"	"AT3G23370"	chr3	+	8358218	8359743	8358218	8359545	8359665	8359743
315	"AT1G72130"	"NPF5.11"	chr1	+	27137432	27138259	27137432	27137650	27137735	27138259
316	"AT3G55400"	"OVA1"	chr3	-	20536083	20536481	20536083	20536212	20536325	20536481
317	"AT5G47730"	"AT5G47730"	chr5	-	19336447	19337101	19336447	19336476	19336563	19337101
318	"AT5G22030"	"UBP8"	chr5	-	7289702	7290268	7289702	7290056	7290124	7290268
319	"AT1G65440"	"GTB1"	chr1	-	24306666	24307501	24306666	24307235	24307287	24307501
320	"AT1G76930"	"ATEXT4"	chr1	-	28895698	28895988	28895698	28895784	28895830	28895988
321	"AT2G15970"	"COR413PM1"	chr2	+	6950767	6951192	6950767	6950881	6951025	6951192
322	"AT5G03190"	"CPUORF47"	chr5	+	758373	760382	758373	758660	758842	760382
323	"AT3G02540"	"RAD23C"	chr3	-	533771	533977	533771	533819	533911	533977
324	"AT1G09570"	"PHYA"	chr1	-	3097157	3099223	3097157	3098940	3099031	3099223
325	"AT3G52050"	"AT3G52050"	chr3	+	19304992	19305353	19304992	19305088	19305211	19305353
326	"AT3G52050"	"AT3G52050"	chr3	+	19308824	19309019	19308824	19308883	19308974	19309019
327	"AT3G03660"	"WOX11"	chr3	-	891462	892162	891462	891651	891738	892162
328	"AT4G03260"	"AT4G03260"	chr4	+	1428672	1429142	1428672	1428954	1429049	1429142
329	"AT5G60940"	"CSTF50"	chr5	+	24523577	24523849	24523577	24523687	24523779	24523849
330	"AT1G03055"	"D27"	chr1	-	710694	711016	710694	710801	710954	711016
331	"AT3G19330"	"AT3G19330"	chr3	+	6699622	6700673	6699622	6700222	6700318	6700673
332	"AT2G27580"	"SAP3"	chr2	-	11777285	11777529	11777285	11777347	11777494	11777529
333	"AT1G48490"	"IRE3"	chr1	-	17928053	17928930	17928053	17928633	17928718	17928930
334	"AT3G59080"	"AT3G59080"	chr3	+	21836578	21838620	21836578	21837436	21837544	21838620
335	"AT3G17712"	"AT3G17712"	chr3	+	6057567	6058336	6057567	6058166	6058241	6058336
336	"AT4G38240"	"GNTI"	chr4	-	17931569	17932122	17931569	17931921	17931995	17932122
337	"AT1G63940"	"MDAR6"	chr1	+	23732814	23733053	23732814	23732903	23732990	23733053
338	"AT1G63940"	"MDAR6"	chr1	+	23732814	23733053	23732814	23732903	23733002	23733053
339	"AT3G15095"	"AT3G15095"	chr3	+	5081779	5084081	5081779	5082038	5082289	5084081
340	"AT4G18360"	"GLO5"	chr4	-	10145918	10146758	10145918	10146329	10146653	10146758
341	"AT5G49710"	"AT5G49710"	chr5	+	20196404	20197007	20196404	20196432	20196898	20197007
342	"AT5G49470"	"AT5G49470"	chr5	+	20063447	20063989	20063447	20063844	20063936	20063989
343	"AT5G49470"	"AT5G49470"	chr5	+	20064109	20065305	20064109	20064563	20064635	20065305
344	"AT5G49470"	"AT5G49470"	chr5	+	20064109	20065305	20064109	20064563	20064644	20065305
345	"AT5G49470"	"AT5G49470"	chr5	+	20065900	20066178	20065900	20066001	20066099	20066178
346	"AT3G27770"	"AT3G27770"	chr3	-	10287151	10287581	10287151	10287280	10287396	10287581
347	"AT2G34230"	"AT2G34230"	chr2	+	14454638	14456808	14454638	14456585	14456679	14456808
348	"AT1G29560"	"AT1G29560"	chr1	+	10333169	10333748	10333169	10333361	10333430	10333748
349	"AT1G11790"	"ADT1"	chr1	+	3984418	3984662	3984418	3984508	3984594	3984662
350	"AT4G01550"	"NAC69"	chr4	-	675719	676411	675719	675991	676071	676411
351	"AT2G24600"	"AT2G24600"	chr2	-	10452115	10452749	10452115	10452300	10452420	10452749
352	"AT2G24600"	"AT2G24600"	chr2	-	10452115	10453359	10452115	10452749	10452908	10453359
353	"AT4G11350"	"AT4G11350"	chr4	+	6901681	6903975	6901681	6902589	6903432	6903975
354	"AT1G45688"	"AT1G45688"	chr1	+	17192206	17193158	17192206	17192392	17192516	17193158
355	"AT5G66210"	"CPK28"	chr5	-	26456291	26456839	26456291	26456529	26456663	26456839
356	"AT5G66210"	"CPK28"	chr5	-	26456934	26457276	26456934	26457108	26457213	26457276
357	"AT5G41700"	"UBC8"	chr5	+	16676781	16677509	16676781	16676886	16677079	16677509
358	"AT4G18380"	"AT4G18380"	chr4	+	10159319	10159748	10159319	10159530	10159608	10159748
359	"AT4G03110"	"BRN1"	chr4	-	1376305	1376999	1376305	1376760	1376855	1376999
360	"AT5G35210"	"AT5G35210"	chr5	-	13474195	13474642	13474195	13474507	13474591	13474642
361	"AT2G41540"	"GPDHC1"	chr2	+	17326510	17327455	17326510	17326606	17326792	17327455
362	"AT2G41540"	"GPDHC1"	chr2	+	17326510	17327455	17326510	17326606	17326795	17327455
363	"AT4G17410"	"AT4G17410"	chr4	+	9715760	9716525	9715760	9716189	9716349	9716525
364	"AT2G05440"	"ATGRP9"	chr2	+	1993573	1994166	1993573	1993723	1993744	1994166
365	"AT2G05440"	"ATGRP9"	chr2	+	1993573	1994166	1993573	1993723	1993786	1994166
366	"AT2G05440"	"ATGRP9"	chr2	+	1993573	1994166	1993573	1993744	1993786	1994166
367	"AT2G05440"	"ATGRP9"	chr2	+	1993573	1994166	1993573	1993744	1993807	1994166
368	"AT2G05440"	"ATGRP9"	chr2	+	1993573	1994166	1993573	1993723	1993846	1994166
369	"AT2G05440"	"ATGRP9"	chr2	+	1993573	1994166	1993573	1993744	1993846	1994166
370	"AT2G05440"	"ATGRP9"	chr2	+	1993573	1994166	1993573	1993765	1993846	1994166
371	"AT2G05440"	"ATGRP9"	chr2	+	1993573	1994166	1993573	1993807	1993876	1994166
372	"AT2G05440"	"ATGRP9"	chr2	+	1993573	1994166	1993573	1993765	1993885	1994166
373	"AT2G05440"	"ATGRP9"	chr2	+	1993573	1994166	1993573	1993786	1993909	1994166
374	"AT3G30380"	"AT3G30380"	chr3	+	11975992	11976571	11975992	11976432	11976498	11976571
375	"AT2G22570"	"NIC1"	chr2	-	9589796	9590214	9589796	9589982	9590080	9590214
376	"AT5G51110"	"AT5G51110"	chr5	-	20779005	20779464	20779005	20779215	20779296	20779464
377	"AT2G37770"	"AKR4C9"	chr2	+	15835874	15836472	15835874	15836150	15836223	15836472
378	"AT5G35620"	"EIF(ISO)4E"	chr5	-	13825067	13825707	13825067	13825133	13825575	13825707
379	"AT3G61880"	"CYP78A9"	chr3	-	22905867	22906743	22905867	22906047	22906119	22906743
380	"AT2G27710"	"RPP2B"	chr2	+	11817305	11817538	11817305	11817419	11817470	11817538
381	"AT1G28330"	"DYL1"	chr1	-	9933908	9934566	9933908	9934288	9934450	9934566
382	"AT3G55760"	"AT3G55760"	chr3	+	20700434	20701173	20700434	20700513	20700627	20701173
383	"AT1G27710"	"AT1G27710"	chr1	+	9642473	9643352	9642473	9643042	9643060	9643352
384	"AT5G08480"	"VQ31"	chr5	+	2744417	2745111	2744417	2744747	2744840	2745111
385	"AT1G30610"	"EMB2279"	chr1	+	10849380	10850054	10849380	10849538	10849622	10850054
386	"AT5G54600"	"RPL24"	chr5	+	22183871	22184102	22183871	22184027	22184084	22184102
387	"AT2G26860"	"AT2G26860"	chr2	-	11451972	11452627	11451972	11452414	11452489	11452627
388	"AT1G01620"	"PIP1-3"	chr1	-	226848	227302	226848	227049	227078	227302
389	"AT5G65440"	"AT5G65440"	chr5	+	26152121	26152463	26152121	26152251	26152374	26152463
390	"AT5G65440"	"AT5G65440"	chr5	+	26153689	26154169	26153689	26153795	26153897	26154169
391	"AT5G65440"	"AT5G65440"	chr5	+	26156305	26156655	26156305	26156500	26156583	26156655
392	"AT3G54740"	"AT3G54740"	chr3	+	20262795	20264115	20262795	20262845	20263036	20264115
393	"AT2G37440"	"AT2G37440"	chr2	+	15720433	15720791	15720433	15720550	15720598	15720791
394	"AT1G43770"	"AT1G43770"	chr1	+	16549672	16550108	16549672	16549897	16549980	16550108
395	"AT1G07930"	"A3"	chr1	+	2459570	2460790	2459570	2459870	2460101	2460790
396	"AT4G15000"	"RPL27C"	chr4	+	8571832	8572489	8571832	8572265	8572361	8572489
397	"AT3G24740"	"AT3G24740"	chr3	+	9032376	9033796	9032376	9033475	9033553	9033796
398	"AT3G11930"	"AT3G11930"	chr3	+	3777105	3777694	3777105	3777224	3777302	3777694
399	"AT2G32690"	"ATGRP23"	chr2	-	13863716	13864596	13863716	13864049	13864136	13864596
400	"AT2G32690"	"ATGRP23"	chr2	-	13863716	13864596	13863716	13864112	13864136	13864596
401	"AT2G32690"	"ATGRP23"	chr2	-	13863716	13864596	13863716	13864136	13864166	13864596
402	"AT1G15200"	"AT1G15200"	chr1	-	5228299	5228881	5228299	5228566	5228650	5228881
403	"AT3G54500"	"AT3G54500"	chr3	-	20177934	20178491	20177934	20178064	20178160	20178491
404	"AT3G54500"	"AT3G54500"	chr3	-	20178713	20179027	20178713	20178804	20178940	20179027
405	"AT1G69530"	"EXPA1"	chr1	+	26141835	26142166	26141835	26141919	26142008	26142166
406	"AT1G69530"	"EXPA1"	chr1	+	26142744	26143034	26142744	26142917	26143007	26143034
407	"AT1G69530"	"EXPA1"	chr1	+	26142744	26143496	26142744	26143034	26143108	26143496
408	"AT1G69530"	"EXPA1"	chr1	+	26142744	26143496	26142744	26143034	26143111	26143496
409	"AT1G27770"	"ACA1"	chr1	-	9673280	9675232	9673280	9673339	9673561	9675232
410	"AT5G01910"	"AT5G01910"	chr5	-	357794	358229	357794	358084	358163	358229
411	"AT4G37530"	"PER51"	chr4	+	17635675	17636288	17635675	17635933	17636000	17636288
412	"AT2G44470"	"BGLU29"	chr2	+	18356785	18357019	18356785	18356820	18356916	18357019
413	"AT4G24160"	"AT4G24160"	chr4	+	12541693	12541989	12541693	12541793	12541865	12541989
414	"AT3G03726"	"AT3G03726"	chr3	-	933765	934113	933765	933922	933997	934113
415	"AT3G55070"	"AT3G55070"	chr3	+	20410159	20410622	20410159	20410293	20410435	20410622
416	"AT5G40370"	"GRXC2"	chr5	-	16148680	16149198	16148680	16148769	16148996	16149198
417	"AT3G22260"	"AT3G22260"	chr3	+	7870891	7871134	7870891	7870930	7871034	7871134
418	"AT4G21200"	"GA2OX8"	chr4	+	11302684	11303205	11302684	11303066	11303171	11303205
419	"AT1G68080"	"AT1G68080"	chr1	+	25518367	25518772	25518367	25518512	25518602	25518772
420	"AT4G35830"	"ACO1"	chr4	-	16977688	16978057	16977688	16977793	16977945	16978057
421	"AT5G26180"	"AT5G26180"	chr5	+	9152753	9153502	9152753	9152885	9153331	9153502
422	"AT3G25700"	"AT3G25700"	chr3	+	9358718	9360463	9358718	9359585	9359891	9360463
423	"AT5G52890"	"AT5G52890"	chr5	-	21444834	21446241	21444834	21445425	21445509	21446241
424	"AT4G16990"	"RLM3"	chr4	+	9564476	9564941	9564476	9564596	9564676	9564941
425	"AT4G16990"	"RLM3"	chr4	+	9564476	9564941	9564476	9564596	9564691	9564941
426	"AT1G27290"	"AT1G27290"	chr1	+	9482559	9482912	9482559	9482620	9482636	9482912
427	"AT4G00560"	"AT4G00560"	chr4	-	241024	241370	241024	241155	241246	241370
428	"AT5G63760"	"ARI15"	chr5	-	25515877	25516918	25515877	25516074	25516184	25516918
429	"AT5G63370"	"CDKG1"	chr5	-	25383905	25387224	25383905	25386782	25387099	25387224
430	"AT5G63370"	"CDKG1"	chr5	-	25383905	25387224	25383905	25386785	25387099	25387224
431	"AT3G18140"	"AT3G18140"	chr3	-	6213068	6213311	6213068	6213148	6213228	6213311
432	"AT4G34430"	"SWI3D"	chr4	+	16464639	16465323	16464639	16465061	16465136	16465323
433	"AT5G14250"	"CSN3"	chr5	+	4599779	4600152	4599779	4599938	4600030	4600152
434	"AT4G12560"	"CPR30"	chr4	+	7443117	7443754	7443117	7443193	7443523	7443754
435	"AT1G30475"	"AT1G30475"	chr1	-	10788225	10788988	10788225	10788682	10788912	10788988
436	"AT1G15180"	"AT1G15180"	chr1	+	5225765	5226391	5225765	5226004	5226185	5226391
437	"AT2G47060"	"AT2G47060"	chr2	-	19332903	19333427	19332903	19333244	19333340	19333427
438	"AT2G47060"	"AT2G47060"	chr2	-	19333340	19333655	19333340	19333427	19333522	19333655
439	"AT3G09140"	"AT3G09140"	chr3	-	2801279	2802795	2801279	2802008	2802092	2802795
440	"AT2G23820"	"AT2G23820"	chr2	+	10142475	10142899	10142475	10142517	10142601	10142899
441	"AT1G06420"	"AT1G06420"	chr1	+	1958922	1959947	1958922	1959032	1959101	1959947
442	"AT5G20730"	"ARF7"	chr5	-	7016444	7016884	7016444	7016723	7016768	7016884
443	"AT5G53570"	"AT5G53570"	chr5	-	21762840	21763462	21762840	21763088	21763205	21763462
444	"AT5G58200"	"AT5G58200"	chr5	+	23549881	23550143	23549881	23549903	23550031	23550143
445	"AT3G54010"	"PAS1"	chr3	+	20001228	20001453	20001228	20001313	20001383	20001453
446	"AT2G16430"	"PAP10"	chr2	-	7121884	7122292	7121884	7121996	7122091	7122292
447	"AT2G42280"	"BHLH130"	chr2	-	17611729	17612088	17611729	17611795	17611908	17612088
448	"AT4G34460"	"GB1"	chr4	-	16478329	16479088	16478329	16478754	16478993	16479088
449	"AT4G30190"	"AHA2"	chr4	-	14772305	14772808	14772305	14772544	14772643	14772808
450	"AT1G02205"	"CER1"	chr1	+	419296	419894	419296	419529	419674	419894
451	"AT3G25560"	"NIK2"	chr3	-	9279512	9280011	9279512	9279596	9279692	9280011
452	"AT5G63440"	"AT5G63440"	chr5	+	25407649	25407935	25407649	25407738	25407866	25407935
453	"AT2G06510"	"RPA1A"	chr2	+	2585182	2585486	2585182	2585220	2585289	2585486
454	"AT1G76680"	"OPR1"	chr1	+	28777295	28778467	28777295	28777603	28777678	28778467
455	"AT1G02020"	"AT1G02020"	chr1	-	352636	354969	352636	353162	353237	354969
456	"AT4G21860"	"MSRB2"	chr4	-	11600004	11600396	11600004	11600022	11600096	11600396
457	"AT4G33550"	"AT4G33550"	chr4	+	16134439	16135056	16134439	16134862	16134941	16135056
458	"AT5G16390"	"BCCP1"	chr5	-	5361271	5361637	5361271	5361337	5361565	5361637
459	"AT4G30900"	"AT4G30900"	chr4	+	15039431	15039768	15039431	15039566	15039641	15039768
460	"AT5G38320"	"AT5G38320"	chr5	-	15316014	15316834	15316014	15316321	15316435	15316834
461	"AT5G14320"	"RPS13"	chr5	-	4617649	4618458	4617649	4618006	4618233	4618458
462	"AT1G61415"	"AT1G61415"	chr1	+	22659630	22659963	22659630	22659720	22659800	22659963
463	"AT1G15140"	"AT1G15140"	chr1	-	5210548	5210809	5210548	5210629	5210713	5210809
464	"AT4G25450"	"ABCB28"	chr4	-	13010230	13010429	13010230	13010287	13010372	13010429
465	"AT1G77080"	"AGL27"	chr1	+	28958601	28958844	28958601	28958663	28958744	28958844
466	"AT2G32850"	"AT2G32850"	chr2	-	13935185	13935834	13935185	13935641	13935701	13935834
467	"AT1G76650"	"CML38"	chr1	-	28766749	28767517	28766749	28767188	28767218	28767517
468	"AT4G14960"	"TUBA6"	chr4	-	8548491	8550028	8548491	8548878	8548963	8550028
469	"AT5G59980"	"AT5G59980"	chr5	+	24148319	24149578	24148319	24149272	24149348	24149578
470	"AT5G03900"	"AT5G03900"	chr5	+	1050929	1051369	1050929	1050993	1051225	1051369
471	"AT5G53900"	"AT5G53900"	chr5	-	21882328	21882734	21882328	21882434	21882590	21882734
472	"AT5G06510"	"NFYA10"	chr5	+	1985409	1985895	1985409	1985631	1985803	1985895
473	"AT3G45050"	"AT3G45050"	chr3	+	16477019	16477524	16477019	16477128	16477299	16477524
474	"AT3G45050"	"AT3G45050"	chr3	+	16477019	16477524	16477019	16477165	16477299	16477524
475	"AT3G54000"	"AT3G54000"	chr3	+	19997540	19997984	19997540	19997805	19997894	19997984
476	"AT3G54000"	"AT3G54000"	chr3	+	19997540	19998623	19997540	19997984	19998081	19998623
477	"AT2G01100"	"AT2G01100"	chr2	+	81736	83217	81736	81800	82185	83217
478	"AT5G16770"	"AtMYB9"	chr5	+	5514883	5515471	5514883	5514945	5515199	5515471
479	"AT3G44340"	"CEF"	chr3	-	16011620	16012144	16011620	16012032	16012112	16012144
480	"AT1G07420"	"SMO2-2"	chr1	+	2278586	2279117	2278586	2278724	2278971	2279117
481	"AT2G21660"	"RBG7"	chr2	-	9265248	9265893	9265248	9265664	9265715	9265893
482	"AT4G35070"	"AT4G35070"	chr4	+	16694169	16694763	16694169	16694593	16694670	16694763
483	"AT3G05160"	"AT3G05160"	chr3	-	1456533	1457150	1456533	1456596	1456883	1457150
484	"AT1G18620"	"AT1G18620"	chr1	+	6410557	6410854	6410557	6410690	6410769	6410854
485	"AT5G11330"	"AT5G11330"	chr5	-	3617214	3617809	3617214	3617450	3617521	3617809
486	"AT1G58225"	"AT1G58225"	chr1	+	21564783	21565171	21564783	21564912	21565026	21565171
487	"AT2G29780"	"AT2G29780"	chr2	-	12718108	12719328	12718108	12718265	12718373	12719328
488	"AT2G18690"	"AT2G18690"	chr2	+	8097419	8098827	8097419	8097754	8097860	8098827
489	"AT3G49590"	"AT3G49590"	chr3	+	18377559	18379202	18377559	18377680	18377764	18379202
490	"AT5G66930"	"AT5G66930"	chr5	+	26726905	26727324	26726905	26727068	26727167	26727324
491	"AT2G01422"	"AT2G01422"	chr2	+	183939	184734	183939	184205	184467	184734
492	"AT2G02450"	"ANAC034"	chr2	+	649965	650814	649965	650395	650500	650814
493	"AT1G06470"	"AT1G06470"	chr1	+	1970423	1970997	1970423	1970580	1970675	1970997
494	"AT3G55480"	"AP3BA"	chr3	-	20570470	20570869	20570470	20570720	20570792	20570869
495	"AT1G56400"	"AT1G56400"	chr1	-	21112673	21113621	21112673	21113361	21113484	21113621
496	"AT4G19880"	"AT4G19880"	chr4	-	10784390	10785131	10784390	10784924	10784998	10785131
497	"AT4G19880"	"AT4G19880"	chr4	-	10784390	10785131	10784390	10784924	10785002	10785131
498	"AT2G02960"	"AT2G02960"	chr2	-	862610	862893	862610	862700	862806	862893
499	"AT2G39310"	"JAL22"	chr2	-	16415337	16415799	16415337	16415597	16415687	16415799
500	"AT2G28470"	"BGAL8"	chr2	-	12172981	12173298	12172981	12173151	12173258	12173298
501	"AT1G05570"	"CALS1"	chr1	-	1655119	1655457	1655119	1655162	1655285	1655457
502	"AT3G01100"	"HYP1"	chr3	-	35321	36127	35321	35555	35851	36127
503	"AT2G19280"	"AT2G19280"	chr2	+	8364952	8366144	8364952	8365547	8365620	8366144
504	"AT4G29210"	"GGT3"	chr4	+	14401681	14402953	14401681	14402704	14402815	14402953
505	"AT5G45620"	"RPN9A"	chr5	+	18503244	18504117	18503244	18503344	18503682	18504117
506	"AT1G69250"	"AT1G69250"	chr1	+	26034595	26034881	26034595	26034711	26034809	26034881
507	"AT1G02850"	"BGLU11"	chr1	+	631602	632043	631602	631858	631927	632043
508	"AT1G02850"	"BGLU11"	chr1	+	631602	632043	631602	631858	631999	632043
509	"AT1G02850"	"BGLU11"	chr1	+	631602	632043	631602	631858	632008	632043
510	"AT4G30993"	"AT4G30993"	chr4	+	15099298	15099616	15099298	15099410	15099503	15099616
511	"AT2G44500"	"AT2G44500"	chr2	+	18375477	18376790	18375477	18375851	18375930	18376790
512	"AT1G22920"	"CSN5B"	chr1	-	8109713	8110147	8109713	8109971	8110069	8110147
513	"AT5G07890"	"AT5G07890"	chr5	-	2519009	2519270	2519009	2519112	2519210	2519270
514	"AT4G17615"	"CBL1"	chr4	+	9817634	9818076	9817634	9817717	9818016	9818076
515	"AT4G30000"	"MitHPPK/DHPS"	chr4	-	14670155	14671995	14670155	14670479	14670565	14671995
516	"AT4G06634"	"AT4G06634"	chr4	-	3765940	3766276	3765940	3766140	3766217	3766276
517	"AT4G06634"	"AT4G06634"	chr4	-	3765940	3766276	3765940	3766140	3766250	3766276
518	"AT3G59310"	"AT3G59310"	chr3	-	21922848	21923062	21922848	21922917	21923010	21923062
519	"AT1G74960"	"KAS2"	chr1	-	28155629	28156259	28155629	28156132	28156191	28156259
520	"AT4G39260"	"RBG8"	chr4	-	18273898	18274567	18273898	18274185	18274314	18274567
521	"AT4G39260"	"RBG8"	chr4	-	18273898	18274567	18273898	18274185	18274416	18274567
522	"AT5G56600"	"PFN3"	chr5	-	22909684	22910220	22909684	22910016	22910082	22910220
523	"AT2G48100"	"AT2G48100"	chr2	+	19672191	19672530	19672191	19672380	19672449	19672530
524	"AT3G10230"	"LCY1"	chr3	-	3164074	3166038	3164074	3165768	3165982	3166038
525	"AT2G29930"	"AT2G29930"	chr2	-	12757184	12758558	12757184	12757872	12758332	12758558
526	"AT2G29930"	"AT2G29930"	chr2	-	12757184	12758558	12757184	12758111	12758332	12758558
527	"AT4G17680"	"AT4G17680"	chr4	-	9843499	9843900	9843499	9843750	9843829	9843900
528	"AT1G05670"	"AT1G05670"	chr1	-	1697586	1698029	1697586	1697832	1697938	1698029
529	"AT1G48650"	"AT1G48650"	chr1	-	17989397	17990143	17989397	17989581	17989707	17990143
530	"AT4G38225"	"AT4G38225"	chr4	+	17927564	17928485	17927564	17928196	17928284	17928485
531	"AT1G79000"	"HAC1"	chr1	-	29716349	29717047	29716349	29716775	29716937	29717047
532	"AT5G08750"	"AT5G08750"	chr5	+	2852865	2853962	2852865	2852942	2853075	2853962
533	"AT1G33110"	"AT1G33110"	chr1	+	12007784	12008246	12007784	12008023	12008127	12008246
534	"AT5G67440"	"NPY3"	chr5	-	26913482	26914773	26913482	26914625	26914703	26914773
535	"AT5G58720"	"AT5G58720"	chr5	-	23719701	23720269	23719701	23720104	23720198	23720269
536	"AT5G58720"	"AT5G58720"	chr5	-	23719701	23720496	23719701	23720269	23720389	23720496
537	"AT4G21580"	"AT4G21580"	chr4	+	11475718	11476073	11475718	11475849	11475948	11476073
538	"AT5G05180"	"AT5G05180"	chr5	+	1537092	1538492	1537092	1537616	1537688	1538492
539	"AT3G13920"	"TIF4A-1"	chr3	-	4592255	4593270	4592255	4592664	4592704	4593270
540	"AT2G46450"	"CNGC12"	chr2	+	19065942	19066348	19065942	19066153	19066222	19066348
541	"AT3G22690"	"PCMP-H56"	chr3	-	8021228	8021540	8021228	8021394	8021490	8021540
542	"AT5G06530"	"ABCG22"	chr5	-	1989746	1990477	1989746	1990275	1990369	1990477
543	"AT1G43620"	"UGT80B1"	chr1	-	16429349	16429754	16429349	16429558	16429642	16429754
544	"AT2G41020"	"AT2G41020"	chr2	+	17119837	17120392	17119837	17119930	17120275	17120392
545	"AT4G00440"	"AT4G00440"	chr4	+	197502	198579	197502	198112	198206	198579
546	"AT4G00440"	"AT4G00440"	chr4	+	197502	198579	197502	198112	198211	198579
547	"AT5G54840"	"ATSGP1"	chr5	-	22276932	22277436	22276932	22277016	22277396	22277436
548	"AT2G36680"	"VPS37-2"	chr2	-	15369245	15369495	15369245	15369361	15369448	15369495
549	"AT2G36680"	"VPS37-2"	chr2	-	15369245	15369495	15369245	15369366	15369448	15369495
550	"AT1G09730"	"ULP2B"	chr1	-	3153009	3153237	3153009	3153047	3153143	3153237
551	"AT5G66055"	"AKRP"	chr5	-	26417635	26417912	26417635	26417734	26417813	26417912
552	"AT3G26180"	"CYP71B20"	chr3	-	9579096	9580086	9579096	9579255	9579657	9580086
553	"AT1G18470"	"AT1G18470"	chr1	-	6356854	6357149	6356854	6356935	6357079	6357149
554	"AT4G01915"	"AT4G01915"	chr4	+	828072	828607	828072	828128	828211	828607
555	"AT4G36090"	"AT4G36090"	chr4	-	17078877	17079356	17078877	17078949	17079045	17079356
556	"AT2G45960"	"PIP1-2"	chr2	+	18911378	18911982	18911378	18911519	18911607	18911982
557	"AT2G45960"	"PIP1-2"	chr2	+	18911378	18911982	18911378	18911523	18911607	18911982
558	"AT1G51520"	"AT1G51520"	chr1	+	19108435	19108690	19108435	19108515	19108593	19108690
559	"AT5G01390"	"AT5G01390"	chr5	-	160263	160938	160263	160735	160852	160938
560	"AT1G72560"	"PSD"	chr1	-	27324388	27324871	27324388	27324728	27324816	27324871
561	"AT5G05690"	"CYP90A1"	chr5	-	1706189	1706787	1706189	1706423	1706508	1706787
562	"AT3G54350"	"emb1967"	chr3	-	20126555	20126860	20126555	20126623	20126763	20126860
563	"AT2G01350"	"QPT"	chr2	-	166722	167071	166722	166856	166934	167071
564	"AT3G20480"	"LPXK"	chr3	-	7151769	7152023	7151769	7151850	7151963	7152023
565	"AT5G28500"	"RAF1"	chr5	+	10477770	10479384	10477770	10478595	10478921	10479384
566	"AT5G08160"	"ATPK3"	chr5	-	2627725	2628110	2627725	2627744	2627852	2628110
567	"AT3G03790"	"AT3G03790"	chr3	+	967632	968149	967632	967836	967936	968149
568	"AT4G14350"	"AT4G14350"	chr4	-	8256085	8256561	8256085	8256369	8256474	8256561
