Gene ID	LSV ID	LSV Type	E(dPSI) per LSV junction	P(|dPSI|>=0.20) per LSV junction	P(|dPSI|<=0.05) per LSV junction	col0 E(PSI)	prmt5 E(PSI)	A5SS	A3SS	ES	Num. Junctions	Num. Exons	Junctions coords	IR coords
AT2G18440	AT2G18440:s:7996946-7997239	s|1e1.1o2|i	-0.01526559992961606;0.015265612841434663	2.238351245928049e-15;1.6659708250411917e-20	0.0009362052141701493;0.000936170444181629	0.686;0.314	0.648;0.352	False	False	False	1	2	7996853-7996946	7996853-7996946
AT4G13200	AT4G13200:s:7668974-7669214	s|1e1.1o1|2e1.1o1|i	7.77155982729795e-16;-0.00158347844367762;0.008807122931182312	6.0448857830544e-21;1.2840172522243029e-08;3.2345168918390175e-07	0.9999999926460882;0.0011677128349886212;0.0008345376033829788	0.014;0.583;0.404	0.004;0.572;0.423	True	False	False	2	2	7668882-7668986;7668882-7668974	7668882-7668974
AT1G10380	AT1G10380:s:3401481-3401845	s|1e1.1o2|1e1.2o2	-0.0021706865062183166;0.0021707345269752244	4.952712462378055e-09;4.888504842566916e-09	0.002236279621762427;0.002236273215662554	0.055;0.945	0.052;0.948	False	True	False	2	2	3401845-3402046;3401845-3402049	
AT1G01910	AT1G01910:s:313567-313759	s|1e1.1o2|1e1.2o2|i	0.019445809463072627;0.03516513465318718;-0.05784569491156364	1.1515556803486054e-20;1.631014622543519e-20;6.640464230029721e-09	0.0038325030664472268;0.25489893222291576;0.0005121890372608018	0.050;0.035;0.914	0.088;0.063;0.850	False	True	False	2	2	313452-313567;313418-313567	313418-313567
AT5G36790	AT5G36790:s:14481437-14481540	s|1e1.1o1|i	-0.020115008973357183;0.020115013166922206	1.7576074087787536e-20;1.6135090378050218e-20	0.0015008472910341686;0.0015007812862745033	0.649;0.351	0.618;0.382	False	False	False	1	2	14481335-14481437	14481335-14481437
AT1G02840	AT1G02840:s:628246-628469	s|1e1.1o1|1e2.1o3|1e2.3o3	0.08603805876077338;1.8918097246833352e-05;-0.10664467707192349	0.002356587827121004;6.101038755978953e-21;0.009386261250490977	1.0939153142136138e-05;0.47560548521166124;6.630412946018183e-06	0.219;0.013;0.768	0.320;0.029;0.651	False	True	True	3	3	628469-628777;628469-628935;628469-629288	
AT4G36195	AT4G36195:s:17129474-17129557	s|1e1.1o2|1e1.2o2	-2.2290551700558291e-13;7.771559702176269e-16	6.0977200614858745e-21;6.097720061512472e-21	0.9999946253875346;0.9999999997576716	0.997;0.003	0.993;0.007	False	True	False	2	2	17129557-17129672;17129557-17129705	
AT4G22666	AT4G22666:s:11917057-11917497	s|1e1.1o2|1e1.2o2	-0.0005475142901724076;0.000547516362201853	3.466344467853007e-07;3.46692060948512e-07	0.0006230626025846009;0.0006230227707742075	0.996;0.004	0.990;0.010	False	True	False	2	2	11917497-11917588;11917497-11917591	
AT5G63600	AT5G63600:s:25461395-25461727	s|1e1.1o2|2e1.2o2	7.378076995628146e-16;7.771559702176269e-16	6.0977200615124674e-21;6.097720061512472e-21	0.9999999988122505;0.9999999997576716	1.000;0.000	0.999;0.001	True	True	False	2	2	25461312-25461400;25461310-25461395	
AT3G04120	AT3G04120:s:1082189-1082335	s|1e1.1o1|i	-0.0013027855391726539;0.001302811958867763	1.232149059310305e-20;1.2106281371551132e-20	0.001941864443373631;0.0019418385014988214	0.641;0.359	0.645;0.355	False	False	False	1	2	1082335-1082431	1082335-1082431
AT1G02090	AT1G02090:s:388268-388406	s|1e1.1o2|1e1.2o2	-0.0027894418569569014;0.002789473649163189	5.5687998118418814e-08;5.5652189955305905e-08	0.0003938929951139425;0.00039388034201770505	0.825;0.175	0.819;0.181	False	True	False	2	2	387672-388268;387655-388268	
AT5G19330	AT5G19330:s:6508496-6508613	s|1e1.1o2|1e1.2o2	7.771559702176269e-16;7.760582247289654e-16	6.097720061512472e-21;6.097720061512472e-21	0.9999999997576716;0.999999999731296	0.001;0.999	0.001;0.999	False	True	False	2	2	6508446-6508496;6508406-6508496	
AT2G36895	AT2G36895:s:15489806-15489906	s|1e1.1o2|1e1.2o2	-0.006746029343220104;0.006746069184970558	1.9041394990780248e-06;1.904231807173839e-06	0.0002544971393835249;0.00025448384594715934	0.795;0.205	0.781;0.219	False	True	False	2	2	15489730-15489806;15489727-15489806	
AT5G53450	AT5G53450:s:21690703-21690790	s|1e1.1o1|i	-0.010864538035088162;0.010864559941226573	4.6538473736127007e-07;4.6504314232952515e-07	0.0005943606607360374;0.0005943515151785317	0.652;0.348	0.638;0.362	False	False	False	1	2	21690790-21690873	21690790-21690873
AT3G02730	AT3G02730:s:589299-589685	s|1e1.1o1|1e2.1o1|i	-0.017165875430994213;7.77155982729795e-16;0.011052886665500394	1.3502648769424205e-20;6.0448857830544e-21;1.1281619079417469e-20	0.00603559509673679;0.9999999926460882;0.012535631589728702	0.778;0.001;0.221	0.764;0.007;0.229	False	False	True	2	3	588988-589299;588713-589299	588713-589299
AT3G59300	AT3G59300:s:21920191-21920307	s|1e1.2o2|1e2.1o1|2e3.1o2|2e4.1o1	-1.522134526683013e-10;-2.047279501197864e-08;-0.024398693939810277;0.008697265800139995	6.0977200434133564e-21;6.097719800768013e-21;7.0976312772435235e-09;1.4138479363578511e-11	0.9963680349459385;0.7357301564321649;0.00013378842593014806;0.0006746881324942132	0.001;0.004;0.887;0.108	0.010;0.015;0.847;0.127	True	False	True	4	5	21920266-21920439;21920266-21920717;21920307-21920405;21920307-21920717	
AT4G17520	AT4G17520:s:9772428-9772557	s|1e1.1o1|i	0.00505861996687302;-0.005058597644141	1.0959420578455836e-20;1.1234863884291833e-20	0.010460992120166032;0.01046148856975182	0.640;0.360	0.650;0.350	False	False	False	1	2	9772557-9772649	9772557-9772649
AT5G35680	AT5G35680:s:13858203-13858623	s|1e1.1o1|i	7.77155982729795e-16;7.77155982729795e-16	6.0448857830544e-21;6.0448857830544e-21	0.9999999926460882;0.9999999926460882	0.000;1.000	0.000;1.000	False	False	False	1	2	13858150-13858203	13858150-13858203
AT3G02600	AT3G02600:s:553433-553542	s|1e1.1o1|i	-0.37782990019963664;0.37782993103759877	0.9999018342277393;0.9999018348365574	1.1102230246251565e-16;5.553490734598106e-17	0.536;0.464	0.160;0.840	False	False	False	1	2	553542-553620	553542-553620
AT5G21170	AT5G21170:t:7207423-7207598	t|1e1.1o1|1e2.1o1	0.006271294291471889;-0.006271282715198907	9.305676630713576e-13;7.355102475444539e-21	0.014188767955577419;0.014190066764335763	0.957;0.043	0.991;0.009	False	False	True	2	3	7205915-7207423;7207334-7207423	
AT4G02590	AT4G02590:s:1137861-1138201	s|1e1.1o1|i	0.005438608358115312;-0.005438578997829669	7.631243641579235e-21;7.79506133170219e-21	0.4697905563142728;0.4697860732003858	0.021;0.979	0.045;0.955	False	False	False	1	2	1137740-1137861	1137740-1137861
AT2G39800	AT2G39800:s:16598701-16598771	s|1e1.1o1|i	-0.02854104045223729;0.028541014735677536	3.363158379264964e-19;2.072271929326523e-20	0.0008329351358219439;0.0008328986116573874	0.634;0.366	0.605;0.395	False	False	False	1	2	16598597-16598701	16598597-16598701
AT5G63220	AT5G63220:s:25354757-25354838	s|1e1.1o2|1e1.2o2	0.06723945290184484;-0.06723945762980243	0.0007678646394138151;0.0007678632402133331	2.0182722481316036e-05;2.018440402529187e-05	0.882;0.118	0.965;0.035	False	True	False	2	2	25354685-25354757;25354675-25354757	
AT2G25980	AT2G25980:s:11079878-11079918	s|1e1.1o2|1e1.2o2	0.012862493919693766;-0.012862463068398347	0.018435543589141835;0.01843554072836762	4.7651789749136864e-05;4.765275508789024e-05	0.692;0.308	0.722;0.278	False	True	False	2	2	11079648-11079878;11079631-11079878	
AT3G56130	AT3G56130:s:20827623-20827693	s|1e1.1o1|i	-0.1979739743770296;0.19797398567489513	0.4883034919688373;0.48830347227777204	2.6278731699580504e-05;2.6276802379844496e-05	0.568;0.432	0.372;0.628	False	False	False	1	2	20827693-20827901	20827693-20827901
AT3G09720	AT3G09720:s:2981269-2981359	s|1e1.1o2|1e1.2o2	-0.029305069868893023;0.02930509390784974	0.000985095935702105;0.000985094517165729	6.258366834532847e-05;6.257862300723324e-05	0.148;0.852	0.091;0.909	False	True	False	2	2	2981196-2981269;2981193-2981269	
AT1G45249	AT1G45249:t:17165711-17165782	t|1e1.1o2|1e2.1o2|1e2.2o2	0.04698131968060277;1.2460416197677927e-06;-0.04773477055764823	0.0012868888798312252;6.097944722318532e-21;0.0013065070728031122	3.617405373905556e-05;0.10421458277184598;3.463671318437722e-05	0.829;0.002;0.170	0.897;0.002;0.101	True	False	True	3	3	17165782-17166342;17165782-17166037;17165782-17165935	
AT1G63940	AT1G63940:s:23732815-23732903	s|1e1.1o2|1e1.2o2	7.771559702176269e-16;7.771559702176269e-16	6.097720061512472e-21;6.097720061512472e-21	0.9999999997576716;0.9999999997576716	0.998;0.002	1.000;0.000	False	True	False	2	2	23732903-23732991;23732903-23733003	
AT4G33010	AT4G33010:s:15927258-15927356	s|1e1.1o2|1e1.2o2|i	-0.00367349127713418;7.77155982729795e-16;0.0036907986893015944	1.6442121466550293e-20;6.0448857830544e-21;1.6356815922615478e-20	0.001065627626448462;0.9999999926460882;0.0010611875357586786	0.648;0.000;0.352	0.636;0.000;0.364	False	True	False	2	2	15927160-15927258;15927156-15927258	15927156-15927258
AT5G19910	AT5G19910:s:6732201-6732279	s|1e1.1o1|1e2.1o1	2.850146848677206e-06;-2.8501355738318882e-06	6.098837512126276e-21;1.893171960193414e-15	0.06104110749036672;0.06139604606154414	0.003;0.997	0.004;0.996	False	False	True	2	3	6732135-6732201;6731867-6732201	
AT3G12520	AT3G12520:s:3970453-3970560	s|1e1.1o2|1e1.2o2	-0.059947973105246195;0.059947947195455424	0.02901582972465817;0.029015805265954948	2.773664272393006e-05;2.773457798675022e-05	0.288;0.712	0.186;0.814	False	True	False	2	2	3970359-3970453;3970349-3970453	
AT5G07250	AT5G07250:s:2274968-2275131	s|1e1.1o2|1e1.2o2	-4.018365999221735e-06;4.018466811821612e-06	1.3243568594342272e-15;6.098526806824637e-21	0.0594789884185043;0.0583765597740291	0.997;0.003	0.996;0.004	False	True	False	2	2	2274882-2274968;2274741-2274968	
AT5G16715	AT5G16715:s:5490892-5491029	s|1e1.1o1|i	-0.0708693659459714;0.07086936042846986	0.004584318332850148;0.004584314773874998	0.00028226389076169145;0.0002822403909901735	0.777;0.223	0.691;0.309	False	False	False	1	2	5491029-5491396	5491029-5491396
AT3G14415	AT3G14415:s:4820379-4820483	s|1e1.1o1|i	-0.014095353167648648;0.014095362726953838	2.974603532566414e-09;2.7164929195186807e-09	0.000751966423767958;0.0007519435137922081	0.642;0.358	0.638;0.362	False	False	False	1	2	4820483-4820563	4820483-4820563
AT5G23050	AT5G23050:s:7734591-7734847	s|1e1.1o1|2e1.1o1	-0.010129239282391194;0.010129283609780054	2.79791373716828e-06;2.7981705891461294e-06	0.00032870347214608575;0.0003286798776176367	0.099;0.901	0.079;0.921	True	False	False	2	2	7734502-7734596;7734502-7734591	
AT2G25710	AT2G25710:s:10954225-10954270	s|1e1.1o1|i	-0.015375211502411949;0.015375243031440528	0.0011059481721161708;0.0011059500813022372	0.0010079095114313708;0.001007864364278896	0.616;0.384	0.582;0.418	False	False	False	1	2	10954270-10954607	10954270-10954607
AT4G31990	AT4G31990:s:15472313-15472422	s|1e1.1o1|i	-0.03280353487482872;0.03280354160507175	0.0027011394215965528;0.002701151901801091	0.0010314500845500785;0.001031365767763977	0.706;0.294	0.663;0.337	False	False	False	1	2	15472105-15472313	15472105-15472313
AT5G56260	AT5G56260:t:22775325-22776068	t|1e1.1o1|1e2.1o1	0.00015980115675925388;-0.00015980054218339855	6.12581202305676e-21;6.129590573346548e-21	0.4745478983095697;0.47507155281715074	0.971;0.029	0.997;0.003	False	False	True	2	3	22776068-22777036;22776068-22776458	
AT2G01220	AT2G01220:s:123276-123390	s|1e1.1o1|2e1.1o1	-0.033287642366299726;0.03328768606818042	1.7119017738622478e-06;1.7115084088427601e-06	7.081812907150375e-05;7.081167711807209e-05	0.097;0.903	0.045;0.955	True	False	False	2	2	123379-123483;123390-123483	
AT3G48360	AT3G48360:s:17910093-17910235	s|1e1.1o1|i	-0.2287942409164031;0.2287942493835054	0.7239033744039505;0.7239034680730755	3.953487285213164e-06;3.953110634845049e-06	0.580;0.420	0.362;0.638	False	False	False	1	2	17909888-17910093	17909888-17910093
AT5G27950	AT5G27950:s:9985173-9985334	s|1e1.1o2|1e1.2o2	0.2226502350537568;-0.22265024637336966	0.6371175758547298;0.6371176604075433	3.273876573635703e-06;3.2741299753613617e-06	0.278;0.722	0.519;0.481	False	True	False	2	2	9985334-9985402;9985334-9985453	
AT2G40540	AT2G40540:s:16930864-16931164	s|1e1.2o2|2e1.2o2	0.004923224415767232;-0.004923196398066413	0.0006812427747241226;0.000681242116791338	8.060946450477724e-05;8.061044208851342e-05	0.637;0.363	0.647;0.353	True	False	False	2	2	16931047-16931413;16931164-16931413	
AT1G30470	AT1G30470:s:10780899-10780974	s|1e1.1o1|1e2.1o1	6.94411655665701e-05;-6.943941432430021e-05	5.287720778017998e-08;5.239894831943726e-08	0.0011439977459603567;0.0011440168618650493	0.991;0.009	0.992;0.008	False	False	True	2	3	10780974-10781071;10780974-10781694	
AT5G19840	AT5G19840:t:6708681-6708796	t|1e1.1o1|2e2.1o1	4.161420089460574e-07;-4.1603897247790154e-07	1.719206177764983e-14;6.100181379671661e-21	0.038085225326903505;0.03821007844072438	0.996;0.004	0.996;0.004	False	True	True	2	3	6708501-6708681;6708632-6708695	
AT4G26480	AT4G26480:t:13373542-13373655	t|1e1.1o1|1e2.1o1	0.01637897115931586;-0.01637895432173286	0.0001206339945885172;0.00012063525160943443	0.00010420625927851784;0.00010421237938706973	0.326;0.674	0.362;0.638	False	False	True	2	3	13373655-13374883;13373655-13374133	
AT2G39290	AT2G39290:s:16407239-16407646	s|1e1.1o2|1e1.2o2	0.0178506036677752;-0.017850551076137196	1.0559509473479532e-10;1.0136771617866739e-20	0.0018779884152197472;0.00187814595790059	0.939;0.061	0.959;0.041	False	True	False	2	2	16407646-16407927;16407646-16407943	
AT5G45680	AT5G45680:s:18530880-18531232	s|1e1.1o1|i	0.00045150230784061173;-0.00045146720351797894	1.1907257301604988e-20;1.1983938499408108e-20	0.010663613547156295;0.010663797784897677	0.630;0.370	0.645;0.355	False	False	False	1	2	18531232-18531326	18531232-18531326
AT1G52220	AT1G52220:t:19453569-19453824	t|1e1.1o1|1e2.1o1|2e2.1o1|i	7.77155982729795e-16;0.0025591262614459136;7.77155982729795e-16;-0.0008307026123584053	6.0448857830544e-21;1.6781325875440852e-20;6.0448857830544e-21;1.54874603942915e-20	0.9999999926460882;0.0007134054028619108;0.9999999926460882;0.0006807763396796673	0.003;0.627;0.004;0.366	0.002;0.620;0.004;0.374	False	True	True	3	3	19453824-19454032;19453824-19453907;19453820-19453907	19453820-19453907
AT2G05185	AT2G05185:s:1876938-1877086	s|1e1.1o1|i	-0.09860247837625691;0.0986024390135165	0.12374011406433717;0.12374006432332228	0.00025735414479499674;0.0002573363016523675	0.515;0.485	0.383;0.617	False	False	False	1	2	1877086-1877685	1877086-1877685
AT4G22890	AT4G22890:s:12009106-12009206	s|1e1.1o3|2e1.1o3|2e1.2o3|2e1.3o3|i	7.77155982729795e-16;0.001053423954478841;0.0007371478668026946;7.77155982729795e-16;-0.007267728500395279	6.0448857830544e-21;1.490964076441021e-20;5.862290624475339e-21;6.0448857830544e-21;1.57205653120602e-20	0.9999999926460882;0.0017205844870502585;0.47499831102087436;0.9999999926460882;0.008411942965850239	0.001;0.560;0.060;0.002;0.379	0.000;0.554;0.064;0.002;0.376	True	True	False	4	2	12009180-12009258;12009185-12009258;12009185-12009262;12009185-12009268	12009185-12009268
AT5G06220	AT5G06220:s:1882896-1883037	s|1e1.1o1|2e1.1o1	1.081267794461282e-06;-1.0813337349609628e-06	1.1102840037228113e-16;6.097935613335253e-21	0.10443152869315968;0.12095496666947936	0.997;0.003	0.998;0.002	True	False	False	2	2	1882940-1883117;1883037-1883117	
AT4G19160	AT4G19160:s:10478244-10478347	s|1e1.1o1|2e1.1o1|i	-0.10843315046214322;-0.01313821039283277;0.1296380162745424	0.02938299664219312;2.2624978239151941e-13;0.07886997346446989	0.00013515913797079726;0.08467115427105587;8.032023415307412e-05	0.509;0.108;0.385	0.388;0.086;0.526	True	False	False	2	2	10478321-10478541;10478347-10478541	10478347-10478541
AT5G06120	AT5G06120:s:1844067-1844184	s|1e1.1o1|1e2.1o1	0.002186215200315122;-0.002186164505008306	2.5225009661209863e-06;2.522626031528445e-06	0.0005338652759834805;0.0005338805831599513	0.942;0.058	0.946;0.054	False	False	True	2	3	1844184-1844737;1844184-1845292	
AT1G77800	AT1G77800:s:29258756-29258821	s|1e1.1o2|1e1.2o2	-0.012731054301237967;0.012731099790291224	2.0185403712339625e-09;1.887715539448365e-09	0.001632875268827938;0.0016327642756317345	0.961;0.039	0.943;0.057	False	True	False	2	2	29258821-29258925;29258821-29258930	
AT3G61010	AT3G61010:s:22572446-22572792	s|1e1.1o1|i	7.77155982729795e-16;-1.0479739138580486e-11	6.0448857830544e-21;6.044885781521929e-21	0.9999999926460882;0.862146666892824	0.001;0.999	0.001;0.999	False	False	False	1	2	22572322-22572446	22572322-22572446
AT4G21280	AT4G21280:s:11335092-11335390	s|1e1.1o1|i	0.0029428203930979397;-0.0029428059477100885	1.2522017379036094e-20;1.2769426286575286e-20	0.0020715715775406103;0.002071614639720054	0.617;0.383	0.627;0.373	False	False	False	1	2	11335390-11335489	11335390-11335489
AT3G26070	AT3G26070:t:9527791-9527865	t|1e1.1o1|1e2.1o2|1e2.2o2|i	7.77155982729795e-16;7.77155982729795e-16;-0.037789932225494025;0.024565627784741695	6.0448857830544e-21;6.0448857830544e-21;0.00011760739663088054;7.65771041744136e-06	0.9999999926460882;0.9999999926460882;0.000583067592182851;0.0007690631023637914	0.001;0.001;0.675;0.324	0.006;0.008;0.631;0.356	True	False	True	3	3	9527437-9527791;9527587-9527791;9527623-9527791	9527623-9527791
AT1G79650	AT1G79650:s:29973361-29973426	s|1e1.1o1|1e2.2o2	-2.152726831489181e-05;2.152758203121507e-05	1.2720482153081097e-11;6.116578607243897e-21	0.01297692831100472;0.012977107547894162	0.995;0.005	0.989;0.011	False	False	True	2	3	29973078-29973361;29972919-29973361	
AT3G10260	AT3G10260:s:3172776-3172966	s|1e1.1o1|2e1.1o1	-0.08489861558751735;0.08489862256100986	0.0010994551731742367;0.0010994577152310114	1.9428966502532674e-05;1.942736031075542e-05	0.149;0.851	0.052;0.948	True	False	False	2	2	3172512-3172812;3172512-3172776	
AT3G11270	AT3G11270:s:3530000-3530096	s|1e1.1o1|2e1.1o1	-3.4371428416605916e-05;3.437153749826515e-05	6.108119137184638e-21;3.091455363466818e-11	0.007058298513194616;0.007056671244468939	0.005;0.995	0.004;0.996	True	False	False	2	2	3530087-3530229;3530096-3530229	
AT1G30970	AT1G30970:s:11041204-11041257	s|1e1.1o1|i	-0.08064387129577139;0.0806438346509917	0.028851373706996124;0.028851357550777872	0.00031379277555620977;0.0003137666645070986	0.495;0.505	0.396;0.604	False	False	False	1	2	11040684-11041204	11040684-11041204
AT5G60410	AT5G60410:s:24300532-24300667	s|1e1.1o1|2e1.1o1|i	-1.4719757570528331e-06;-0.01650214309486255;0.05135413732383484	6.0453578943928845e-21;1.135472462648593e-20;2.1068799198977335e-20	0.4750130214550079;0.4735183088732252;0.023368127188878745	0.023;0.052;0.924	0.000;0.000;0.999	True	False	False	2	2	24300626-24300753;24300667-24300753	24300667-24300753
AT5G08230	AT5G08230:s:2644196-2644723	s|1e1.1o1|2e1.1o1	-0.03158972953040565;0.03158974900857313	0.009166286821322553;0.009166285757450305	4.475286193128536e-05;4.475001356281372e-05	0.819;0.181	0.757;0.243	True	False	False	2	2	2644090-2644228;2644090-2644196	
AT5G41790	AT5G41790:s:16727725-16732406	s|1e1.1o1|i	-0.008519505357107363;0.008519533027631459	2.968216794268274e-10;2.2176629390549153e-10	0.0017638162815819536;0.0017637157608137374	0.603;0.397	0.597;0.403	False	False	False	1	2	16732406-16732487	16732406-16732487
AT1G72410	AT1G72410:s:27251901-27252036	s|1e1.1o1|i	7.77155982729795e-16;-9.596911423401962e-12	6.0448857830544e-21;6.0448857819222106e-21	0.9999999926460882;0.8906540864306352	0.001;0.999	0.001;0.999	False	False	False	1	2	27251784-27251901	27251784-27251901
AT3G28080	AT3G28080:t:10454696-10454844	t|1e1.1o1|1e2.1o1	-0.029512835414116333;0.029512824109251594	2.0470996362875183e-05;2.0471504980604635e-05	5.8057348186424385e-05;5.8052244610967826e-05	0.195;0.805	0.150;0.850	False	False	True	2	3	10453624-10454696;10454605-10454696	
AT4G15540	AT4G15540:s:8874447-8874605	s|1e1.1o2|1e1.2o2	-0.012868578082983454;0.012868592445634807	1.607412888253546e-20;8.424039832370581e-21	0.09460552069654926;0.09460244649163208	0.911;0.089	0.896;0.104	False	True	False	2	2	8874605-8874673;8874605-8874701	
AT1G77490	AT1G77490:s:29118607-29118713	s|1e1.1o1|2e1.1o1	-0.01336860509016174;0.013368623950084804	1.4535966083292586e-10;1.2346335066203086e-10	0.0005823769302839565;0.0005823319711777255	0.870;0.130	0.853;0.147	True	False	False	2	2	29118694-29118798;29118713-29118798	
AT3G48380	AT3G48380:s:17917334-17917602	s|1e1.1o2|1e1.2o2	0.04451439431909825;-0.044514403092838606	0.007828327215878702;0.007828339988177961	3.508557953615238e-05;3.508837237997664e-05	0.730;0.270	0.804;0.196	False	True	False	2	2	17917602-17917701;17917602-17917708	
AT3G11630	AT3G11630:s:3672120-3672395	s|1e1.1o1|i	-0.010905762604479178;0.010905766374483754	1.1541245811818866e-20;1.0717031372754603e-20	0.02026252334987111;0.02026192207649513	0.801;0.199	0.787;0.213	False	False	False	1	2	3672395-3672779	3672395-3672779
AT1G51110	AT1G51110:t:18935908-18935982	t|1e1.1o1|1e2.1o1|2e2.1o1	0.0538493939634355;-0.014614812293464237;-0.044933174161836814	1.6192186616724602e-20;4.457712296782699e-09;1.5104890826390848e-20	0.0002214321149712515;0.0009930177998275225;0.0036509865513693063	0.005;0.928;0.067	0.083;0.900;0.017	False	True	True	3	3	18935673-18935908;18935796-18935908;18935796-18935912	
AT2G38180	AT2G38180:s:15998135-15998278	s|1e1.1o1|2e1.1o1	0.05183533557120586;-0.0518353634357334	3.940240803768093e-05;3.940334451434044e-05	6.857279360092036e-05;6.857903855528313e-05	0.026;0.974	0.094;0.906	True	False	False	2	2	15998220-15998364;15998278-15998364	
AT5G01970	AT5G01970:s:373655-373863	s|1e1.1o1|2e1.1o1	0.08878977846489845;-0.08878978512567959	0.006559004896425472;0.006559004343081909	1.0978259937885546e-05;1.0979243273867567e-05	0.865;0.135	0.966;0.034	True	False	False	2	2	373568-373660;373568-373655	
AT2G29310	AT2G29310:s:12590855-12590975	s|1e1.1o1|2e1.1o1|3e1.1o1|i	7.77155982729795e-16;-0.4550092180492167;-2.1089566420852942e-08;0.4654555864496597	6.0448857830544e-21;1.0;6.044891232814045e-21;1.0	0.9999999926460882;6.106226635438361e-14;0.4759073302832183;7.394639340438132e-14	0.003;0.558;0.020;0.417	0.015;0.113;0.005;0.867	True	False	False	3	2	12590934-12591069;12590961-12591069;12590975-12591069	12590975-12591069
AT4G37930	AT4G37930:s:17832507-17832584	s|1e1.1o1|i	-0.0005772766203444605;0.0005772933363922266	1.7131916454209963e-20;1.71385774986984e-20	0.002003208638562959;0.0020031641444775983	0.658;0.342	0.654;0.346	False	False	False	1	2	17832426-17832507	17832426-17832507
AT1G55140	AT1G55140:s:20573011-20573067	s|1e1.1o2|2e1.2o2	4.3401362370221777e-16;7.771559702176269e-16	6.097720061512431e-21;6.097720061512472e-21	0.9999999915129699;0.9999999997576716	0.999;0.001	0.999;0.001	True	True	False	2	2	20572816-20573015;20572814-20573011	
AT4G18070	AT4G18070:s:10030632-10030944	s|1e1.1o1|i	-0.15604311276020694;0.1560431050802199	0.203256932473232;0.2032569343898868	5.705380272913452e-05;5.704952724908929e-05	0.718;0.282	0.554;0.446	False	False	False	1	2	10030944-10031569	10030944-10031569
AT1G62560	AT1G62560:s:23161769-23161942	s|1e1.1o1|2e1.1o1	-0.013816012341329151;0.013816006141717258	8.998080725828083e-21;8.671505806361102e-21	0.19631367013351264;0.19629418499590853	0.051;0.949	0.032;0.968	True	False	False	2	2	23161901-23162330;23161942-23162330	
AT5G62575	AT5G62575:s:25117488-25117601	s|1e1.1o2|1e1.2o2	0.01426941596529255;-0.014269382689099368	9.093382493971939e-05;9.093371941463784e-05	0.0001253621806722241;0.00012537040405435906	0.624;0.376	0.652;0.348	False	True	False	2	2	25117601-25117687;25117601-25117690	
AT5G57290	AT5G57290:s:23207168-23207213	s|1e1.1o1|i	7.77155982729795e-16;7.77155982729795e-16	6.0448857830544e-21;6.0448857830544e-21	0.9999999926460882;0.9999999926460882	0.000;1.000	0.000;1.000	False	False	False	1	2	23207114-23207168	23207114-23207168
AT4G01995	AT4G01995:s:873284-873376	s|1e1.1o2|1e1.2o2	0.1363956139971925;-0.13639564182067188	0.15288691489788478;0.15288693387088664	7.29101985562017e-06;7.291584647739491e-06	0.429;0.571	0.579;0.421	False	True	False	2	2	873376-873489;873376-873501	
AT5G55850	AT5G55850:s:22603372-22603622	s|1e1.1o1|1e2.1o1	7.771559702176269e-16;7.771559702176269e-16	6.097720061512472e-21;6.097720061512472e-21	0.9999999997576716;0.9999999997576716	0.001;0.999	0.001;0.999	False	False	True	2	3	22603622-22603707;22603622-22604543	
AT2G36720	AT2G36720:s:15396002-15396061	s|1e1.1o1|1e2.1o1	-0.1450656094248184;0.14506558080367565	0.19483262354993874;0.19483251901185555	6.230257019068652e-06;6.229783038766827e-06	0.971;0.029	0.802;0.198	False	False	True	2	3	15396061-15396133;15396061-15396266	
AT1G05830	AT1G05830:s:1757047-1757144	s|1e1.1o1|2e1.1o1	-0.11931381681327083;0.11931376808830695	0.18226078140714516;0.18226070129837976	1.4877156015558057e-05;1.4876046421304339e-05	0.301;0.699	0.137;0.863	True	False	False	2	2	1757136-1757227;1757144-1757227	
AT4G35830	AT4G35830:s:16973500-16973598	s|1e1.1o1|2e1.1o1|i	7.77155982729795e-16;-0.02905377136835945;0.0305814950919788	6.0448857830544e-21;2.8242297240174727e-15;8.171972808364643e-12	0.9999999926460882;0.0006800842533920548;0.0005227701052338551	0.004;0.627;0.369	0.003;0.592;0.404	True	False	False	2	2	16973425-16973547;16973425-16973500	16973425-16973500
AT5G64860	AT5G64860:s:25927618-25927754	s|1e1.1o1|i	-0.29237346555249055;0.29237344105679375	0.9314365032916085;0.931436534003512	6.818480979275954e-06;6.817849823495764e-06	0.627;0.373	0.329;0.671	False	False	False	1	2	25927514-25927618	25927514-25927618
AT3G13190	AT3G13190:s:4240405-4240587	s|1e1.1o2|1e1.2o2	0.09307852231680687;-0.09307854743227989	0.137921642235835;0.1379217316279641	2.1720658689059272e-05;2.1721961255605216e-05	0.254;0.746	0.409;0.591	False	True	False	2	2	4240587-4240735;4240587-4240740	
AT2G24270	AT2G24270:s:10328181-10328336	s|1e1.1o1|i	0.001097398438088923;-0.0010973757052316212	1.008127389556156e-20;1.0131258751733262e-20	0.05834759086335235;0.05834880885102822	0.641;0.359	0.634;0.366	False	False	False	1	2	10328094-10328181	10328094-10328181
AT5G16030	AT5G16030:s:5238541-5238585	s|1e1.1o2|1e1.2o2	-0.0035590537017297034;0.003559077266742623	8.593543271798726e-10;8.822755135073033e-10	0.0007956758152201093;0.0007956544947532174	0.113;0.887	0.106;0.894	False	True	False	2	2	5238585-5238680;5238585-5238683	
