gene_name	gene_id	seqid	start	end
AT1G62301	AT1G62301	1	23020515	23020685
AT1G62305	AT1G62305	1	23028917	23029339
AT1G62310	AT1G62310	1	23039585	23039609
AT1G62320	AT1G62320	1	23044542	23044855
AT1G62330	AT1G62330	1	23046893	23047426
AT1G62333	AT1G62333	1	23050445	23050940
SBT2.4	AT1G62340	1	23055454	23055672
AT1G62350	AT1G62350	1	23056653	23056820
MIR413	AT1G62355	1	23058034	23058156
STM	AT1G62360	1	23061294	23061722
AT1G62370	AT1G62370	1	23072575	23073189
ACO2	AT1G62380	1	23082170	23082453
Phox2	AT1G62390	1	23084293	23087127
HT1	AT1G62400	1	23090243	23090554
AT1G62410	AT1G62410	1	23092915	23093298
AT1G62421	AT1G62421	1	23099484	23099889
AT1G62422	AT1G62422	1	23100139	23101033
AT1G62420	AT1G62420	1	23104235	23104647
CDS1	AT1G62430	1	23109272	23109476
LRX2	AT1G62440	1	23111818	23111847
AT1G62450	AT1G62450	1	23117188	23117370
AT1G62460	AT1G62460	1	23118657	23123058
AT1G62480	AT1G62480	1	23128705	23128813
AT1G62490	AT1G62490	1	23131089	23131533
AT1G62500	AT1G62500	1	23132045	23133502
AT1G62510	AT1G62510	1	23136369	23137191
AT1G62520	AT1G62520	1	23144412	23145509
AT1G62530	AT1G62530	1	23148329	23148367
FMOGS-OX2	AT1G62540	1	23151794	23152413
AT1G62550	AT1G62550	1	23156931	23157297
FMOGS-OX3	AT1G62560	1	23159823	23160458
FMOGS-OX4	AT1G62570	1	23169136	23169750
AT1G62580	AT1G62580	1	23173333	23173921
AT1G62590	AT1G62590	1	23177263	23179248
AT1G62600	AT1G62600	1	23179477	23180103
AT1G62620	AT1G62620	1	23182644	23183233
AT1G62610	AT1G62610	1	23182685	23183227
AT1G62630	AT1G62630	1	23185912	23188593
KAS III	AT1G62640	1	23192228	23192692
AT1G62650	AT1G62650	1	23195353	23195721
BFRUCT3	AT1G62660	1	23199718	23200306
RPF2	AT1G62670	1	23204773	23206665
AT1G62680	AT1G62680	1	23207905	23209913
AT1G62690	AT1G62690	1	23211312	23211389
AT1G62695	AT1G62695	1	23211745	23212724
NAC026	AT1G62700	1	23217757	23217916
bVPE	AT1G62710	1	23226654	23226916
AT1G62720	AT1G62720	1	23227532	23229150
AT1G62730	AT1G62730	1	23230580	23230736
HOP2	AT1G62740	1	23230956	23231901
CPEFG	AT1G62750	1	23236069	23236447
AT1G62760	AT1G62760	1	23237574	23238512
AT1G62766	AT1G62766	1	23240661	23242889
AT1G62770	AT1G62770	1	23246565	23246890
AT1G62780	AT1G62780	1	23250971	23251105
AT1G62790	AT1G62790	1	23252313	23252675
ASP4	AT1G62800	1	23257363	23257463
AT1G62810	AT1G62810	1	23261281	23261966
CML14	AT1G62820	1	23263671	23264349
LDL1	AT1G62830	1	23264490	23267202
AT1G62835	AT1G62835	1	23267976	23268534
AT1G62840	AT1G62840	1	23271416	23271540
AT1G62860	AT1G62860	1	23274676	23277017
AT1G62863	AT1G62863	1	23279166	23279333
AT1G62870	AT1G62870	1	23284012	23286760
AT1G62880	AT1G62880	1	23291929	23292196
AT1G62886	AT1G62886	1	23294413	23294447
AT1G62890	AT1G62890	1	23294977	23295564
AT1G62900	AT1G62900	1	23297720	23298044
AT1G62910	AT1G62910	1	23299057	23300958
AT1G62914	AT1G62914	1	23301576	23303162
AT1G62920	AT1G62920	1	23304313	23304444
AT1G62930	AT1G62930	1	23306534	23308683
AT1G62935	AT1G62935	1	23308880	23309410
4CLL1	AT1G62940	1	23310535	23310637
AT1G62950	AT1G62950	1	23315294	23316462
ACS10	AT1G62960	1	23319693	23320316
AT1G62970	AT1G62970	1	23323317	23326053
BHLH125	AT1G62975	1	23328850	23329218
AT1G62978	AT1G62978	1	23331462	23331608
EXPA18	AT1G62980	1	23331676	23331872
AT1G62981	AT1G62981	1	23333672	23334982
KNAT7	AT1G62990	1	23337365	23337749
NRS/ER	AT1G63000	1	23342393	23342959
MIR399B	AT1G63005	1	23345377	23345511
AT1G63010	AT1G63010	1	23351910	23352092
NRPD1	AT1G63020	1	23362304	23362564
DREB1E	AT1G63030	1	23368343	23368410
AT1G63040	AT1G63040	1	23371327	23372073
LPLAT2	AT1G63050	1	23377874	23378291
AT1G63055	AT1G63055	1	23379665	23379982
AT1G63057	AT1G63057	1	23382172	23382494
AT1G63060	AT1G63060	1	23384043	23384122
AT1G63070	AT1G63070	1	23386122	23387167
AT1G63080	AT1G63080	1	23387631	23390816
PP2A11	AT1G63090	1	23392283	23392851
SCL28	AT1G63100	1	23399391	23401367
AT1G63105	AT1G63105	1	23404141	23404509
AT1G63110	AT1G63110	1	23404822	23405023
ATRBL2	AT1G63120	1	23410451	23410815
AT1G63130	AT1G63130	1	23412730	23415149
AT1G63140	AT1G63140	1	23417494	23417986
AT1G63150	AT1G63150	1	23419396	23421321
RFC2	AT1G63160	1	23423610	23423828
AT1G63170	AT1G63170	1	23425352	23426115
UGE3	AT1G63180	1	23429187	23429603
AT1G63190	AT1G63190	1	23431835	23431850
AT1G63200	AT1G63200	1	23434582	23434600
AT1G63205	AT1G63205	1	23438659	23438677
AT1G63206	AT1G63206	1	23439642	23439791
AT1G63210	AT1G63210	1	23443688	23446963
AT1G63220	AT1G63220	1	23448919	23449083
AT1G63230	AT1G63230	1	23450654	23452091
AT1G63240	AT1G63240	1	23458443	23458661
CLE14	AT1G63245	1	23460529	23460771
RH48	AT1G63250	1	23465466	23466451
TET10	AT1G63260	1	23468892	23469204
ABCI1	AT1G63270	1	23471018	23471237
AT1G63280	AT1G63280	1	23471343	23471705
AT1G63290	AT1G63290	1	23473471	23473639
AT1G63295	AT1G63295	1	23475219	23475532
AT1G63300	AT1G63300	1	23482193	23482270
AT1G63310	AT1G63310	1	23486307	23487085
AT1G63320	AT1G63320	1	23489315	23489530
AT1G63330	AT1G63330	1	23489840	23491519
AT1G63340	AT1G63340	1	23493467	23494019
AT1G63350	AT1G63350	1	23494935	23497631
AT1G63360	AT1G63360	1	23499515	23502169
AT1G63370	AT1G63370	1	23504803	23505358
AT1G63380	AT1G63380	1	23505582	23505599
AT1G63390	AT1G63390	1	23506634	23506983
AT1G63400	AT1G63400	1	23507320	23509053
AT1G63410	AT1G63410	1	23511773	23511997
AT1G63420	AT1G63420	1	23515874	23516035
AT1G63430	AT1G63430	1	23522608	23522977
HMA5	AT1G63440	1	23527655	23527957
RHS8	AT1G63450	1	23531409	23534569
GPX8	AT1G63460	1	23535016	23535162
AHL5	AT1G63470	1	23538368	23539220
AHL12	AT1G63480	1	23541241	23542137
AT1G63490	AT1G63490	1	23551669	23552030
AT1G63500	AT1G63500	1	23555686	23556096
AT1G63510	AT1G63510	1	23559187	23559258
AT1G63520	AT1G63520	1	23559887	23560041
AT1G63522	AT1G63522	1	23562205	23562482
AT1G63530	AT1G63530	1	23563315	23563401
AT1G63535	AT1G63535	1	23566045	23566227
AT1G63540	AT1G63540	1	23566958	23567026
CRRSP9	AT1G63550	1	23569538	23570692
CRRSP8	AT1G63560	1	23573094	23574278
CRRSP7	AT1G63570	1	23575450	23576304
CRRSP6	AT1G63580	1	23577333	23578092
CRRSP5	AT1G63590	1	23579896	23580702
CRRSP4	AT1G63600	1	23581712	23582624
AT1G63610	AT1G63610	1	23585360	23585727
AT1G63630	AT1G63630	1	23587298	23588047
AT1G63640	AT1G63640	1	23595605	23595821
BHLH2	AT1G63650	1	23599653	23599927
AT1G63660	AT1G63660	1	23606535	23607219
AT1G63670	AT1G63670	1	23610220	23610244
ATMURE	AT1G63680	1	23614437	23616321
SPPL2	AT1G63690	1	23618378	23618636
YDA	AT1G63700	1	23628496	23629112
CYP86A7	AT1G63710	1	23632178	23633942
AT1G63720	AT1G63720	1	23637244	23637529
AT1G63730	AT1G63730	1	23641770	23642239
AT1G63740	AT1G63740	1	23645429	23645868
AT1G63750	AT1G63750	1	23650848	23653342
ARI6	AT1G63760	1	23655713	23657612
AT1G63770	AT1G63770	1	23664166	23664243
IMP4	AT1G63780	1	23667132	23667367
AT1G63790	AT1G63790	1	23667485	23667556
UBC5	AT1G63800	1	23668960	23669080
AT1G63810	AT1G63810	1	23675798	23675898
AT1G63820	AT1G63820	1	23683604	23684367
AT1G63830	AT1G63830	1	23685199	23685299
AT1G63835	AT1G63835	1	23688964	23689443
AT1G63840	AT1G63840	1	23689697	23690807
AT1G63850	AT1G63850	1	23696962	23697660
AT1G63855	AT1G63855	1	23700871	23700967
AT1G63860	AT1G63860	1	23705533	23706005
AT1G63870	AT1G63870	1	23711420	23711901
AT1G63880	AT1G63880	1	23715575	23716124
DAL1	AT1G63900	1	23716719	23717129
AtMYB103	AT1G63910	1	23721493	23721774
AT1G63920	AT1G63920	1	23726506	23727581
ROH1	AT1G63930	1	23727891	23729333
MDAR6	AT1G63940	1	23730051	23730369
AT1G63950	AT1G63950	1	23734997	23735072
AT1G63960	AT1G63960	1	23738201	23738506
ISPF	AT1G63970	1	23740006	23740364
AT1G63980	AT1G63980	1	23740516	23740723
SPO11-2	AT1G63990	1	23745268	23745374
WRKY56	AT1G64000	1	23747304	23747834
AT1G64010	AT1G64010	1	23750884	23751441
AT1G64020	AT1G64020	1	23751756	23752121
ATSRP3	AT1G64030	1	23753956	23754348
AT1G64035	AT1G64035	1	23755496	23757736
TOPP3	AT1G64040	1	23760097	23760558
AT1G64050	AT1G64050	1	23762365	23762773
RBOHF	AT1G64060	1	23769774	23770929
AT1G64065	AT1G64065	1	23778353	23779529
RLM1	AT1G64070	1	23779949	23780421
MAKR2	AT1G64080	1	23785381	23786800
RTNLB3	AT1G64090	1	23789309	23789584
AT1G64100	AT1G64100	1	23791585	23792203
ANAC027	AT1G64105	1	23795050	23795642
AT1G64107	AT1G64107	1	23796501	23796555
AT1G64110	AT1G64110	1	23801503	23801720
AT1G64120	AT1G64120	1	23802553	23802636
AT1G64130	AT1G64130	1	23802559	23802615
CPuORF23	AT1G64142	1	23806924	23807159
AT1G64140	AT1G64140	1	23806924	23807159
AT1G64150	AT1G64150	1	23812410	23812677
DIR5	AT1G64160	1	23814010	23814839
CHX16	AT1G64170	1	23818075	23818293
AT1G64180	AT1G64180	1	23821516	23822026
AT1G64185	AT1G64185	1	23824514	23824690
AT1G64190	AT1G64190	1	23825328	23827136
AT1G64195	AT1G64195	1	23827990	23828048
VHA-E3	AT1G64200	1	23829901	23830002
AT1G64210	AT1G64210	1	23831033	23832209
TOM7-2	AT1G64220	1	23833088	23833321
UBC28	AT1G64230	1	23833558	23833671
AT1G64235	AT1G64235	1	23836249	23836620
AT1G64240	AT1G64240	1	23837561	23839897
AT1G64250	AT1G64250	1	23840888	23843251
AT1G64255	AT1G64255	1	23844954	23847206
AT1G64260	AT1G64260	1	23847756	23849915
AT1G64270	AT1G64270	1	23850572	23852785
NPR1	AT1G64280	1	23854847	23855566
AT1G64290	AT1G64290	1	23857178	23858488
AT1G64295	AT1G64295	1	23859554	23860624
AT1G64300	AT1G64300	1	23863095	23863216
PCMP-E65	AT1G64310	1	23866053	23867711
AT1G64320	AT1G64320	1	23869036	23869664
AT1G64330	AT1G64330	1	23870905	23870989
AT1G64340	AT1G64340	1	23878125	23878356
SEH1	AT1G64350	1	23881512	23881852
AT1G64355	AT1G64355	1	23886084	23886533
AT1G64360	AT1G64360	1	23887870	23888189
AT1G64370	AT1G64370	1	23888920	23889661
ERF061	AT1G64380	1	23890646	23892173
AT1G64385	AT1G64385	1	23900035	23900184
AtGH9C2	AT1G64390	1	23911119	23911526
LACS3	AT1G64400	1	23919527	23919783
AT1G64405	AT1G64405	1	23923732	23924336
AT1G64410	AT1G64410	1	23932057	23932203
AT1G64420	AT1G64420	1	23933137	23933209
AT1G64430	AT1G64430	1	23933380	23933955
UGE4	AT1G64440	1	23937030	23937284
AT1G64450	AT1G64450	1	23941598	23942846
AT1G64460	AT1G64460	1	23944153	23944680
AT1G64470	AT1G64470	1	23944722	23945772
CBL8	AT1G64480	1	23949661	23949751
AT1G64490	AT1G64490	1	23952133	23952713
AT1G64500	AT1G64500	1	23953233	23954492
RPS6	AT1G64510	1	23955825	23956255
RPN12A	AT1G64520	1	23956386	23956563
NLP6	AT1G64530	1	23959661	23960033
AT1G64540	AT1G64540	1	23966909	23967814
ABCF3	AT1G64550	1	23968779	23969053
AT1G64560	AT1G64560	1	23973729	23974177
AT1G64561	AT1G64561	1	23974666	23974775
AT1G64563	AT1G64563	1	23975594	23978335
DUO3	AT1G64570	1	23978868	23980050
AT1G64572	AT1G64572	1	23984011	23984178
AT1G64580	AT1G64580	1	23984790	23986731
AT1G64583	AT1G64583	1	23987051	23988740
RTFL22	AT1G64585	1	23989933	23990097
AT1G64590	AT1G64590	1	23993533	23993712
AT1G64600	AT1G64600	1	23995971	23996373
AT1G64610	AT1G64610	1	24001661	24001950
AT1G64618	AT1G64618	1	24005900	24006393
DOF1.8	AT1G64620	1	24006992	24007311
BHLH157	AT1G64625	1	24016656	24016972
CPuORF57	AT1G64628	1	24019490	24019970
WNK10	AT1G64630	1	24019490	24019970
ENODL8	AT1G64640	1	24022956	24023196
AT1G64650	AT1G64650	1	24026186	24026421
MGL	AT1G64660	1	24028918	24029349
BDG1	AT1G64670	1	24032943	24033556
AT1G64680	AT1G64680	1	24036021	24036570
BLT	AT1G64690	1	24038034	24039177
AT1G64700	AT1G64700	1	24039810	24040595
AT1G64710	AT1G64710	1	24044545	24044719
CP5	AT1G64720	1	24048302	24048622
AT1G64730	AT1G64730	1	24048864	24049160
TUBA1	AT1G64740	1	24050006	24050226
DSS1(I)	AT1G64750	1	24053843	24053879
AT1G64760	AT1G64760	1	24056308	24056414
PNSB2	AT1G64770	1	24057439	24057962
AMT1-2	AT1G64780	1	24060770	24062630
ILA	AT1G64790	1	24081794	24082027
AT1G64800	AT1G64800	1	24085086	24085433
APO1	AT1G64810	1	24086558	24086704
AT1G64820	AT1G64820	1	24088605	24089401
AT1G64830	AT1G64830	1	24091271	24092566
AT1G64840	AT1G64840	1	24093558	24093789
AT1G64850	AT1G64850	1	24097547	24097650
SIGA	AT1G64860	1	24097953	24098136
AT1G64870	AT1G64870	1	24102917	24103831
AT1G64880	AT1G64880	1	24105642	24106259
AT1G64890	AT1G64890	1	24109542	24110031
CYP89A2	AT1G64900	1	24113215	24114984
UGT79B10	AT1G64910	1	24115137	24116747
UGT79B11	AT1G64920	1	24117440	24118798
CYP89A7	AT1G64930	1	24120926	24122461
CYP89A6	AT1G64940	1	24123789	24125324
CYP89A5	AT1G64950	1	24127561	24129458
AT1G64960	AT1G64960	1	24129918	24130979
VTE4	AT1G64970	1	24135636	24136109
CDI	AT1G64980	1	24139165	24139276
GTG1	AT1G64990	1	24145652	24145980
AT1G65000	AT1G65000	1	24147044	24147286
AT1G65010	AT1G65010	1	24149543	24149559
AT1G65020	AT1G65020	1	24156390	24156605
AT1G65030	AT1G65030	1	24156770	24157466
AT1G65032	AT1G65032	1	24159499	24159585
HRD1B	AT1G65040	1	24161820	24162038
AT1G65050	AT1G65050	1	24165543	24165679
4CL3	AT1G65060	1	24170632	24171502
AT1G65070	AT1G65070	1	24175754	24176253
ALB3L2	AT1G65080	1	24176582	24177018
AT1G65090	AT1G65090	1	24183088	24183203
AT1G65110	AT1G65110	1	24187915	24188330
SCRL2	AT1G65113	1	24189464	24189533
AT1G65120	AT1G65120	1	24193883	24196073
AT1G65130	AT1G65130	1	24199112	24201022
AT1G65140	AT1G65140	1	24201617	24201669
AT1G65150	AT1G65150	1	24205694	24205775
AT1G65160	AT1G65160	1	24206224	24206273
AT1G65170	AT1G65170	1	24209613	24209624
AT1G65180	AT1G65180	1	24211741	24213870
AT1G65190	AT1G65190	1	24215644	24217328
AT1G65200	AT1G65200	1	24220876	24222789
AT1G65210	AT1G65210	1	24224812	24224819
AT1G65220	AT1G65220	1	24226111	24226208
AT1G65230	AT1G65230	1	24229148	24229281
AT1G65240	AT1G65240	1	24233135	24233349
AT1G65250	AT1G65250	1	24234338	24235808
VIPP1	AT1G65260	1	24236258	24236467
AT1G65270	AT1G65270	1	24241723	24242175
AT1G65280	AT1G65280	1	24245296	24245407
MTACP2	AT1G65290	1	24250163	24250421
AT1G65295	AT1G65295	1	24251511	24251650
PHE2	AT1G65300	1	24254929	24255765
XTH17	AT1G65310	1	24257216	24257543
CBSX6	AT1G65320	1	24262295	24262951
PHE1	AT1G65330	1	24266481	24267320
CYP96A3	AT1G65340	1	24268135	24269646
AT1G65342	AT1G65342	1	24271276	24271536
AT1G65346	AT1G65346	1	24273910	24274038
AT1G65347	AT1G65347	1	24274897	24275690
UBQ13	AT1G65350	1	24276419	24277275
AT1G65352	AT1G65352	1	24277772	24277829
AGL23	AT1G65360	1	24281337	24281648
AT1G65365	AT1G65365	1	24282516	24284206
AT1G65370	AT1G65370	1	24286103	24286145
CLV2	AT1G65380	1	24286826	24289249
AT1G65385	AT1G65385	1	24289658	24291024
PP2A5	AT1G65390	1	24292478	24293068
TGD3	AT1G65410	1	24295169	24295547
NPQ7	AT1G65420	1	24298235	24298570
ARI8	AT1G65430	1	24306016	24306236
GTB1	AT1G65440	1	24314532	24314620
AT1G65450	AT1G65450	1	24315814	24316336
FAS1	AT1G65470	1	24323421	24324040
FT	AT1G65480	1	24331428	24331710
AT1G65481	AT1G65481	1	24341622	24341739
AT1G65483	AT1G65483	1	24342483	24343296
AT1G65485	AT1G65485	1	24346724	24347264
AT1G65484	AT1G65484	1	24347750	24347897
AT1G65486	AT1G65486	1	24349523	24349631
AT1G65490	AT1G65490	1	24354771	24354900
AT1G65500	AT1G65500	1	24357867	24357995
AT1G65510	AT1G65510	1	24359453	24359567
ECI1	AT1G65520	1	24361032	24361993
AT1G65540	AT1G65540	1	24365494	24366011
AT1G65541	AT1G65541	1	24366310	24366405
NAT10	AT1G65550	1	24370680	24370800
AT1G65560	AT1G65560	1	24373440	24373798
AT1G65570	AT1G65570	1	24375391	24375846
FRA3	AT1G65580	1	24383226	24384079
AT1G65585	AT1G65585	1	24384343	24385178
HEXO3	AT1G65590	1	24385900	24386340
KOR2	AT1G65610	1	24394865	24395360
LBD6	AT1G65620	1	24398925	24399314
DEGP3	AT1G65630	1	24408696	24409068
DegP4	AT1G65640	1	24413221	24413527
AT1G65642	AT1G65642	1	24414927	24414970
UCH2	AT1G65650	1	24417582	24417709
SMP1	AT1G65660	1	24421216	24421292
CYP702A1	AT1G65670	1	24423745	24423953
EXPB2	AT1G65680	1	24427266	24427458
EXPB6	AT1G65681	1	24428875	24428901
AT1G65690	AT1G65690	1	24432436	24432953
LSM8	AT1G65700	1	24436173	24436287
AT1G65710	AT1G65710	1	24436901	24438542
AT1G65720	AT1G65720	1	24440259	24441073
YSL7	AT1G65730	1	24442504	24443017
AT1G65740	AT1G65740	1	24452096	24453211
AT1G65750	AT1G65750	1	24454772	24458439
AT1G65760	AT1G65760	1	24458591	24459226
AMR1	AT1G65770	1	24460656	24461738
AT1G65780	AT1G65780	1	24466793	24466888
SD17	AT1G65790	1	24468932	24470210
SD16	AT1G65800	1	24473121	24474456
AT1G65810	AT1G65810	1	24480600	24480728
AT1G65820	AT1G65820	1	24485101	24485328
AT1G65830	AT1G65830	1	24486992	24487073
PAO4	AT1G65840	1	24489780	24490215
AT1G65845	AT1G65845	1	24493683	24493798
AT1G65850	AT1G65850	1	24494734	24494797
FMOGS-OX1	AT1G65860	1	24502135	24502745
DIR21	AT1G65870	1	24503624	24504193
AT1G65875	AT1G65875	1	24504725	24506342
AAE20	AT1G65880	1	24510540	24510742
AAE12	AT1G65890	1	24514414	24514659
AT1G65900	AT1G65900	1	24518116	24518487
AT1G65907	AT1G65907	1	24520175	24520267
anac028	AT1G65910	1	24523952	24524164
AT1G65920	AT1G65920	1	24529151	24529294
CICDH	AT1G65930	1	24538886	24539136
AT1G65940	AT1G65940	1	24543652	24544101
AT1G65950	AT1G65950	1	24550925	24551144
GAD2	AT1G65960	1	24554413	24554465
PRXIIC	AT1G65970	1	24558075	24558322
PRXIIB	AT1G65980	1	24560599	24560936
AT1G65985	AT1G65985	1	24568292	24568530
PRXIIA	AT1G65990	1	24573317	24573471
AT1G66000	AT1G66000	1	24574344	24575438
AT1G66010	AT1G66010	1	24575698	24576055
TPS26	AT1G66020	1	24577553	24577809
CYP96A14P	AT1G66030	1	24583149	24583652
ORTH4	AT1G66040	1	24586259	24586681
AT1G66045	AT1G66045	1	24588269	24588536
ORTH5	AT1G66050	1	24589487	24589956
AT1G66060	AT1G66060	1	24593915	24595544
AT1G66070	AT1G66070	1	24598367	24598518
AT1G66080	AT1G66080	1	24600925	24601157
AT1G66090	AT1G66090	1	24602146	24602729
AT1G66100	AT1G66100	1	24606245	24606537
AT1G66110	AT1G66110	1	24609259	24610232
AAE11	AT1G66120	1	24612620	24612837
AT1G66130	AT1G66130	1	24614962	24615507
ZFP4	AT1G66140	1	24621801	24622004
CLE18	AT1G66145	1	24628530	24628835
TMK1	AT1G66150	1	24631409	24633798
PUB20	AT1G66160	1	24637196	24638608
MMD1	AT1G66170	1	24640928	24641494
AT1G66173	AT1G66173	1	24642586	24644068
AT1G66180	AT1G66180	1	24647188	24648813
AT1G66190	AT1G66190	1	24652795	24653938
GLN1-2	AT1G66200	1	24657447	24657638
AT1G66210	AT1G66210	1	24668534	24668783
AT1G66220	AT1G66220	1	24670536	24670643
MYB20	AT1G66230	1	24677154	24677584
AT1G66235	AT1G66235	1	24683647	24683874
ATX1	AT1G66240	1	24687229	24687332
AT1G66245	AT1G66245	1	24690444	24691307
AT1G66250	AT1G66250	1	24692894	24693147
ALY3	AT1G66260	1	24698295	24698434
BGLU21	AT1G66270	1	24702831	24703041
BGLU22	AT1G66280	1	24709573	24709785
AT1G66290	AT1G66290	1	24713887	24714843
AT1G66300	AT1G66300	1	24717082	24718050
AT1G66310	AT1G66310	1	24723549	24724475
AT1G66320	AT1G66320	1	24727643	24728614
AT1G66330	AT1G66330	1	24732266	24732360
ETR1	AT1G66340	1	24734162	24734283
AT1G66345	AT1G66345	1	24737719	24739353
RGL1	AT1G66350	1	24748195	24750043
AT1G66360	AT1G66360	1	24751377	24751541
MYB113	AT1G66370	1	24753634	24753754
MYB114	AT1G66380	1	24757413	24757533
MYB90	AT1G66390	1	24763957	24764172
CML23	AT1G66400	1	24770575	24771371
CAM4	AT1G66410	1	24775710	24775900
AT1G66420	AT1G66420	1	24777184	24778032
AT1G66430	AT1G66430	1	24778271	24778550
AT1G66440	AT1G66440	1	24782171	24784351
AT1G66450	AT1G66450	1	24786200	24788302
AT1G66460	AT1G66460	1	24791595	24791988
BHLH83	AT1G66470	1	24795214	24795853
AT1G66475	AT1G66475	1	24801611	24801754
AT1G66480	AT1G66480	1	24806797	24807557
AT1G66490	AT1G66490	1	24810105	24810549
PCFS1	AT1G66500	1	24811149	24812650
AT1G66510	AT1G66510	1	24812837	24812976
pde194	AT1G66520	1	24818592	24818744
AT1G66530	AT1G66530	1	24822260	24822342
AT1G66534	AT1G66534	1	24823254	24823667
AT1G66540	AT1G66540	1	24824459	24824995
WRKY67	AT1G66550	1	24828537	24828781
AT1G66553	AT1G66553	1	24831160	24831270
WRKY64	AT1G66560	1	24833579	24833823
SUC7	AT1G66570	1	24836001	24837322
RPL10C	AT1G66580	1	24839165	24839217
ATCOX19-1	AT1G66590	1	24841149	24841200
WRKY63	AT1G66600	1	24848320	24848650
AT1G66610	AT1G66610	1	24851244	24851450
AT1G66620	AT1G66620	1	24853874	24854153
AT1G66630	AT1G66630	1	24856529	24856714
AT1G66640	AT1G66640	1	24857438	24857527
AT1G66650	AT1G66650	1	24861525	24861821
AT1G66660	AT1G66660	1	24862976	24863368
CLPP3	AT1G66670	1	24865344	24865702
AR401	AT1G66680	1	24868647	24868992
AT1G66690	AT1G66690	1	24870724	24870850
PXMT1	AT1G66700	1	24874616	24874758
AT1G66710	AT1G66710	1	24878865	24880220
AT1G66720	AT1G66720	1	24881180	24881310
MIR163	AT1G66725	1	24883931	24884559
AtLIG6	AT1G66730	1	24884681	24887259
ASF1A	AT1G66740	1	24892340	24892694
CDKD-2	AT1G66750	1	24894715	24894876
AT1G66760	AT1G66760	1	24901978	24902358
SWEET6	AT1G66770	1	24906451	24907236
AT1G66780	AT1G66780	1	24909213	24909482
MIR157A	AT1G66783	1	24913206	24913296
AT1G66790	AT1G66790	1	24918275	24918356
MIR157B	AT1G66795	1	24921104	24921194
AT1G66800	AT1G66800	1	24924813	24924971
AT1G66810	AT1G66810	1	24928750	24928803
AT1G66820	AT1G66820	1	24930040	24930551
AT1G66830	AT1G66830	1	24931385	24932918
PMI2	AT1G66840	1	24936219	24936322
AT1G66850	AT1G66850	1	24936958	24937434
AT1G66852	AT1G66852	1	24938500	24938832
AT1G66855	AT1G66855	1	24939550	24940013
AT1G66860	AT1G66860	1	24942188	24942339
AT1G66870	AT1G66870	1	24945484	24946968
AT1G66880	AT1G66880	1	24946928	24947002
AT1G66890	AT1G66890	1	24957558	24958114
AT1G66900	AT1G66900	1	24959334	24959856
AT1G66910	AT1G66910	1	24963131	24963946
AT1G66920	AT1G66920	1	24966724	24967432
AT1G66930	AT1G66930	1	24970523	24970712
AT1G66940	AT1G66940	1	24973979	24974791
ABCG39	AT1G66950	1	24978205	24978633
LUP5	AT1G66960	1	24989461	24989797
GDPDL1	AT1G66970	1	24995867	24996117
GDPDL2	AT1G66980	1	25001820	25001983
AT1G66990	AT1G66990	1	25002644	25003327
AT1G67000	AT1G67000	1	25006866	25007647
AT1G67010	AT1G67010	1	25008798	25009712
AT1G67020	AT1G67020	1	25011008	25012987
AT1G67025	AT1G67025	1	25014408	25014725
ZFP6	AT1G67030	1	25016543	25017512
AT1G67035	AT1G67035	1	25018173	25018677
AT1G67040	AT1G67040	1	25021763	25022542
AT1G67050	AT1G67050	1	25028627	25029788
AT1G67060	AT1G67060	1	25036616	25036824
PMI2	AT1G67070	1	25042135	25042683
ABA4	AT1G67080	1	25046634	25046860
RBCS-1A	AT1G67090	1	25049079	25049424
LBD40	AT1G67100	1	25053734	25053990
AT1G67105	AT1G67105	1	25057479	25058264
CYP735A2	AT1G67110	1	25065073	25065446
AT1G67120	AT1G67120	1	25095422	25095526
AT1G67130	AT1G67130	1	25100250	25100625
SWEETIE	AT1G67140	1	25117208	25117372
AT1G67148	AT1G67148	1	25121235	25121327
AT1G67150	AT1G67150	1	25122459	25122724
AT1G67160	AT1G67160	1	25125927	25127098
FLXL2	AT1G67170	1	25127246	25127383
AT1G67180	AT1G67180	1	25129731	25129816
AT1G67190	AT1G67190	1	25132574	25132698
MIR414	AT1G67195	1	25137894	25137937
AT1G67200	AT1G67200	1	25140265	25140551
AT1G67210	AT1G67210	1	25140815	25140932
HAC2	AT1G67220	1	25145587	25147767
CRWN1	AT1G67230	1	25155847	25156323
AT1G67238	AT1G67238	1	25158115	25158454
AT1G67240	AT1G67240	1	25158858	25162322
AT1G67250	AT1G67250	1	25164842	25165056
TCP1	AT1G67260	1	25168228	25169307
DVL3	AT1G67265	1	25175558	25176202
AT1G67270	AT1G67270	1	25185707	25185939
AT1G67280	AT1G67280	1	25190433	25190694
AT1G67290	AT1G67290	1	25192645	25193237
AT1G67300	AT1G67300	1	25196935	25197089
CMTA4	AT1G67310	1	25203024	25203126
AT1G67320	AT1G67320	1	25208828	25208972
AT1G67325	AT1G67325	1	25212404	25212531
AT1G67328	AT1G67328	1	25213843	25215050
AT1G67330	AT1G67330	1	25213852	25215174
AT1G67340	AT1G67340	1	25230265	25230546
AT1G67350	AT1G67350	1	25235271	25235544
AT1G67360	AT1G67360	1	25237674	25238036
AT1G67365	AT1G67365	1	25238410	25239235
ASY1	AT1G67370	1	25243711	25243837
AT1G67390	AT1G67390	1	25244690	25245019
AT1G67400	AT1G67400	1	25250559	25250734
